[ms, ppb]
10375140,20
10380140,20
10385140,20
10390140,20
10395140,20
10400140,20
10405140,20
10410140,20
10415140,20
10420140,20
10425140,20
10430140,20
10435140,20
10440140,20
10445140,20
10450140,20
10455140,21
10460140,22
10465140,22
10470140,24
10475140,25
10480140,26
10485140,27
10490140,28
10495140,30
10500140,31
10505140,33
10510140,34
10515140,36
10520140,37
10525140,39
10530140,41
10535140,42
10540140,44
10545140,45
10550140,46
10555140,47
10560140,48
10565140,49
10570140,51
10575140,52
10580140,53
10585140,54
10590140,56
10595140,57
10600140,58
10605140,60
10610140,61
10615140,63
10620140,64
10625140,65
10630140,66
10635140,68
10640140,69
10645140,71
10650140,72
10655140,74
10660140,75
10665140,76
10670140,77
10675140,78
10680140,79
10685140,79
10690140,80
10695140,81
10700140,82
10705140,82
10710140,83
10715140,84
10720140,86
10725140,88
10730140,90
10735140,92
10740140,94
10745140,96
10750140,99
10755140,101
10760140,104
10765140,107
10770140,110
10775140,113
10780140,116
10785140,119
10790140,121
10795140,124
10800140,127
10805140,129
10810140,132
10815140,133
10820140,135
10825140,136
10830140,138
10835140,140
10840140,143
10845140,147
10850140,150
10855140,152
10860140,154
10865140,157
10870140,160
10875140,161
10880140,162
10885140,163
10890140,164
10895140,165
10900140,166
10905140,167
10910140,168
10915140,170
10920140,172
10925140,174
10930140,176
10935140,178
10940140,178
10945140,179
10950140,180
10955140,181
10960140,182
10965140,182
10970140,181
10975140,181
10980140,181
10985140,182
10990140,183
10995140,184
11000140,185
11005140,186
11010140,187
11015140,187
11020140,187
11025140,187
11030140,188
11035140,189
11040140,190
11045140,191
11050140,193
11055140,195
11060140,197
11065140,198
11070140,201
11075140,203
11080140,206
11085140,208
11090140,210
11095140,213
11100140,215
11105140,216
11110140,218
11115140,220
11120140,222
11125140,224
11130140,226
11135140,227
11140140,227
11145140,228
11150140,229
11155140,230
11160140,231
11165140,233
11170140,235
11175141,237
11180141,239
11185141,240
11190141,242
11195141,243
11200141,246
11205141,248
11210141,251
11215141,255
11220141,258
11225141,262
11230141,265
11235141,269
11240141,273
11245141,276
11250141,278
11255141,280
11260141,282
11265141,284
11270141,287
11275141,290
11280141,293
11285141,296
11290141,300
11295141,303
11300141,305
11305141,307
11310141,308
11315141,306
11320141,303
11325141,300
11330141,298
11335141,295
11340141,292
11345141,290
11350141,288
11355141,286
11360141,286
11365141,285
11370141,284
11375141,283
11380141,282
11385141,281
11390141,280
11395141,280
11400141,280
11405141,281
11410141,283
11415141,286
11420141,290
11425141,295
11430141,299
11435141,303
11440141,307
11445141,310
11450141,313
11455141,315
11460141,317
11465141,320
11470141,323
11475141,327
11480141,330
11485141,334
11490141,337
11495141,341
11500141,345
11505141,349
11510141,353
11515141,356
11520141,360
11525141,363
11530141,366
11535141,369
11540141,369
11545141,368
11550141,366
11555141,366
11560141,365
11565141,364
11570141,362
11575141,359
11580141,357
11585141,356
11590141,358
11595141,360
11600141,362
11605141,364
11610141,367
11615141,369
11620141,371
11625141,372
11630141,373
11635141,376
11640141,380
11645141,386
11650141,393
11655141,400
11660141,407
11665141,413
11670141,419
11675141,425
11680141,432
11685141,436
11690141,438
11695141,440
11700141,440
11705141,440
11710141,440
11715141,441
11720141,442
11725141,444
11730141,445
11735141,447
11740141,450
11745141,452
11750141,452
11755141,452
11760141,452
11765141,452
11770141,452
11775141,451
11780141,450
11785141,448
11790141,444
11795141,441
11800141,438
